RegionID,SizeRank,Metro,RegionType,State,Date,Rent,CPI,Year,Income,Month,Year_Num,Month_Num,Quarter,Rent_Lag_1,Rent_Lag_3,Rent_Lag_12,Rent_Roll_3,Rent_Roll_6,Rent_Roll_12,Rent_Growth_MoM,Rent_Growth_YoY
395057,12,"San Francisco, CA",msa,CA,2016-03-31,2449.923460044748,,2016,75380.0,3,1,15,1,2441.5153971574323,2413.331152808162,2247.993373880051,2439.1102600391523,2427.734998303231,2391.8798414420994,0.0034437885983045202,0.0898268155551385
395057,12,"San Francisco, CA",msa,CA,2016-04-30,2470.444658229799,,2016,75380.0,4,1,16,2,2449.923460044748,2425.891922915276,2282.3883323839905,2453.9611718106594,2436.574453453338,2407.55120192925,0.0083762609402811,0.08239453522327689
395057,12,"San Francisco, CA",msa,CA,2016-05-31,2482.556220977051,,2016,75380.0,5,1,17,2,2470.444658229799,2441.5153971574323,2314.9843688958235,2467.6414464171994,2447.2771353554112,2421.515522936019,0.004902584118573472,0.07238573803466064
395057,12,"San Francisco, CA",msa,CA,2016-06-30,2504.71112740844,,2016,75380.0,6,1,18,2,2482.556220977051,2449.923460044748,2348.845749829198,2485.9040022050967,2462.5071311221245,2434.504304400956,0.008924231501460156,0.06635828580509218
395057,12,"San Francisco, CA",msa,CA,2016-07-31,2511.297958765539,,2016,75380.0,7,1,19,3,2504.71112740844,2470.444658229799,2375.632566451271,2499.521769050343,2476.7414704305015,2445.809753760478,0.0026297768573073643,0.05710706033842827
395057,12,"San Francisco, CA",msa,CA,2016-08-31,2513.207887385221,,2016,75380.0,8,1,20,3,2511.297958765539,2482.556220977051,2398.684867776407,2509.7389911863997,2488.6902188018,2455.3533387278794,0.0007605344531163016,0.047744087248516864
395057,12,"San Francisco, CA",msa,CA,2016-09-30,2506.8019491244854,,2016,75380.0,9,1,21,3,2513.207887385221,2504.71112740844,2415.6122221491187,2510.4359317584153,2498.169966981756,2462.9524826424936,-0.0025489090229621203,0.03775015134434012
395057,12,"San Francisco, CA",msa,CA,2016-10-31,2489.1106541307818,,2016,75380.0,10,1,22,4,2506.8019491244854,2511.297958765539,2417.4079273291563,2503.0401635468293,2501.280966298586,2468.927709875962,-0.007057316594110019,0.029660995974661652
395057,12,"San Francisco, CA",msa,CA,2016-11-30,2478.3459851315874,,2016,75380.0,11,1,23,4,2489.1106541307818,2513.207887385221,2418.340129564609,2491.4195294622846,2500.5792603243426,2473.928197839877,-0.0043247048825771905,0.02481282712609234
395057,12,"San Francisco, CA",msa,CA,2016-12-31,2467.4118261001818,,2016,75380.0,12,1,24,4,2478.3459851315874,2506.8019491244854,2413.331152808162,2478.289488454184,2494.3627101062993,2478.434920614212,-0.004411877557452981,0.022409139014797574
395057,12,"San Francisco, CA",msa,CA,2017-01-31,2476.134570138892,,2017,76710.0,1,2,25,1,2467.4118261001818,2489.1106541307818,2425.891922915276,2473.9641271235537,2488.5021453351915,2482.6218078828465,0.0035351796349685216,0.020710999838458255
395057,12,"San Francisco, CA",msa,CA,2017-02-28,2495.539459023495,,2017,76710.0,2,2,26,1,2476.134570138892,2478.3459851315874,2441.5153971574323,2479.6952850875227,2485.557407274904,2487.1238130383517,0.007836766676019069,0.022127266503811915
395057,12,"San Francisco, CA",msa,CA,2017-03-31,2518.953718104126,,2017,76710.0,3,2,27,1,2495.539459023495,2467.4118261001818,2449.923460044748,2496.875915755504,2487.582702104844,2492.8763345433,0.009382443942518526,0.028176495790655176
395057,12,"San Francisco, CA",msa,CA,2017-04-30,2534.6934643784125,,2017,76710.0,4,2,28,2,2518.953718104126,2476.134570138892,2470.444658229799,2516.3955471686777,2495.1798371461155,2498.230401722351,0.006248525394159765,0.026006980538738622
395057,12,"San Francisco, CA",msa,CA,2017-05-31,2549.361081708133,,2017,76710.0,5,2,29,2,2534.6934643784125,2495.539459023495,2482.556220977051,2534.3360880635573,2507.0156865755403,2503.7974734499417,0.005786742079803231,0.026909707086025136
395057,12,"San Francisco, CA",msa,CA,2017-06-30,2571.4860628359456,,2017,76710.0,6,2,30,2,2549.361081708133,2518.953718104126,2504.71112740844,2551.8468696408304,2524.3613926981675,2509.3620514022336,0.0086786376737924,0.026659735207307467
395057,12,"San Francisco, CA",msa,CA,2017-07-31,2585.329351375163,,2017,76710.0,7,2,31,3,2571.4860628359456,2534.6934643784125,2511.297958765539,2568.725498639747,2542.5605229042126,2515.531334119702,0.005383380738198662,0.02947933452150564
395057,12,"San Francisco, CA",msa,CA,2017-08-31,2594.977917506482,,2017,76710.0,8,2,32,3,2585.329351375163,2549.361081708133,2513.207887385221,2583.93111057253,2559.1335993180433,2522.3455032964735,0.003732045252256455,0.03253611869185069
395057,12,"San Francisco, CA",msa,CA,2017-09-30,2597.7575462299737,,2017,76710.0,9,2,33,3,2594.977917506482,2571.4860628359456,2506.8019491244854,2592.688271703873,2572.2675706723517,2529.925136388598,0.001071156985475552,0.03628351938104046
395057,12,"San Francisco, CA",msa,CA,2017-10-31,2595.25549827819,,2017,76710.0,10,2,34,4,2597.7575462299737,2585.329351375163,2489.1106541307818,2595.996987338215,2582.3612429889813,2538.770540067548,-0.0009631568409511626,0.042643682381599435
395057,12,"San Francisco, CA",msa,CA,2017-11-30,2585.823638165333,,2017,76710.0,11,2,35,4,2595.25549827819,2594.977917506482,2478.3459851315874,2592.9455608911653,2588.438335731848,2547.727011153694,-0.0036342703518457142,0.0433666863620088
